timestamps,TP9,AF7,AF8,TP10,Right AUX
1746583603.364,223.145,-46.387,-41.016,187.988,0.000
1746583603.367,-1000.000,-269.531,-114.746,-1000.000,0.000
1746583603.371,-266.602,-76.172,-59.570,-262.695,0.000
1746583603.375,-808.105,195.312,46.387,-808.105,0.000
1746583603.379,314.453,51.758,1.953,286.133,0.000
1746583603.383,-1000.000,-203.613,-111.328,-1000.000,0.000
1746583603.387,-632.812,-104.492,-89.844,-564.941,0.000
1746583603.391,994.629,176.270,12.695,-960.938,0.000
1746583603.395,739.258,137.695,-8.789,689.941,0.000
1746583603.399,-803.223,-148.438,-124.023,-865.234,0.000
1746583603.403,-1000.000,-187.012,-135.254,-1000.000,0.000
1746583603.406,173.828,95.215,-33.203,303.711,0.000
1746583603.410,-805.664,234.863,-5.371,-817.871,0.000
1746583603.414,-71.289,-41.016,-116.211,-134.277,0.000
1746583603.418,-1000.000,-226.074,-159.668,-1000.000,0.000
1746583603.422,-232.910,-3.418,-66.895,-190.430,0.000
1746583603.426,-817.871,223.633,9.277,-808.105,0.000
1746583603.430,237.793,32.227,-51.758,230.469,0.000
1746583603.434,-1000.000,-217.773,-150.879,-1000.000,0.000
1746583603.438,-338.379,-47.363,-101.074,-289.062,0.000
1746583603.442,-835.938,231.934,6.836,-816.406,0.000
1746583603.446,449.219,111.328,-32.227,395.508,0.000
1746583603.449,-1000.000,-185.547,-141.113,-1000.000,0.000
1746583603.453,-774.902,-148.926,-126.465,-693.848,0.000
1746583603.457,819.336,149.414,-3.418,912.598,0.000
1746583603.461,936.035,170.410,12.207,860.840,0.000
1746583603.465,-570.312,-152.344,-122.070,-667.969,0.000
1746583603.469,-1000.000,-210.938,-150.391,-1000.000,0.000
1746583603.473,90.820,80.566,-28.320,172.852,0.000
1746583603.477,-786.621,195.312,32.715,-789.551,0.000
1746583603.481,67.383,-72.266,-47.852,17.090,0.000
1746583603.485,-1000.000,-235.352,-111.328,-1000.000,0.000
1746583603.489,-247.070,-12.207,-47.363,-238.281,0.000
1746583603.492,-813.965,206.543,28.809,-812.012,0.000
1746583603.496,240.723,14.648,-40.527,238.770,0.000
1746583603.500,-1000.000,-230.469,-138.184,-1000.000,0.000
1746583603.504,-459.961,-110.840,-92.773,-392.090,0.000
1746583603.508,-891.113,175.293,20.508,-860.352,0.000
1746583603.512,549.805,105.957,2.930,503.906,0.000
1746583603.516,-1000.000,-203.613,-117.188,-1000.000,0.000
1746583603.520,-911.133,-191.895,-99.121,-810.547,0.000
1746583603.524,608.887,107.422,37.598,763.184,0.000
1746583603.528,-907.227,170.410,34.668,-972.168,0.000
1746583603.532,-316.406,-122.070,-92.285,-415.039,0.000
1746583603.535,-1000.000,-241.211,-127.930,-1000.000,0.000
1746583603.539,-90.820,21.973,-35.645,-12.207,0.000
1746583603.543,-796.875,192.871,32.227,-790.039,0.000
1746583603.547,188.965,-47.852,-43.457,138.184,0.000
1746583603.551,-1000.000,-268.066,-112.305,-1000.000,0.000
1746583603.555,-259.766,-94.727,-50.293,-253.906,0.000
1746583603.559,-810.059,176.270,50.293,-810.059,0.000
1746583603.563,254.395,45.410,6.836,240.723,0.000
1746583603.567,-1000.000,-232.910,-107.422,-1000.000,0.000
1746583603.571,-562.988,-111.328,-68.848,-498.047,0.000
1746583603.574,-961.426,202.148,17.090,-919.922,0.000
1746583603.578,684.082,124.512,-25.879,625.977,0.000
1746583603.582,-872.070,-209.961,-111.328,-943.359,0.000
1746583603.586,-1000.000,-228.027,-101.562,-1000.000,0.000
1746583603.590,287.109,81.055,8.789,428.711,0.000
1746583603.594,-817.871,181.152,44.922,-841.797,0.000
1746583603.598,-140.137,-93.750,-60.059,-199.707,0.000
1746583603.602,-1000.000,-218.750,-110.840,-1000.000,0.000
1746583603.606,-186.523,18.555,-23.438,-107.910,0.000
1746583603.610,-807.617,204.102,46.387,-791.016,0.000
1746583603.614,228.027,-15.137,-38.574,218.750,0.000
1746583603.617,-1000.000,-233.398,-125.977,-1000.000,0.000
1746583603.621,-270.020,-81.055,-53.223,-266.602,0.000
1746583603.625,-809.570,154.785,50.293,-807.129,0.000
1746583603.629,349.121,31.250,13.184,310.059,0.000
1746583603.633,-1000.000,-260.742,-105.957,-1000.000,0.000
1746583603.637,-750.977,-206.055,-96.680,-650.391,0.000
1746583603.641,848.633,121.582,14.160,953.613,0.000
1746583603.645,870.117,132.812,21.973,802.246,0.000
1746583603.649,-668.457,-183.594,-81.055,-746.582,0.000
1746583603.653,-1000.000,-232.422,-104.004,-1000.000,0.000
1746583603.657,129.395,68.359,-13.184,225.586,0.000
1746583603.660,-791.504,204.102,25.391,-799.316,0.000
1746583603.664,16.602,-62.988,-62.988,-46.875,0.000
1746583603.668,-1000.000,-243.652,-114.746,-1000.000,0.000
1746583603.672,-241.699,-21.973,-32.715,-215.820,0.000
1746583603.676,-815.918,194.336,47.363,-810.059,0.000
1746583603.680,240.234,-22.461,-21.973,234.863,0.000
1746583603.684,-1000.000,-273.438,-104.492,-1000.000,0.000
1746583603.688,-424.805,-107.910,-50.293,-342.773,0.000
1746583603.692,-871.094,182.617,24.902,-836.914,0.000
1746583603.696,497.559,74.219,-13.672,449.707,0.000
1746583603.699,-1000.000,-215.820,-105.469,-1000.000,0.000
1746583603.703,-892.090,-189.453,-89.844,-799.316,0.000
1746583603.707,648.926,104.004,8.301,774.414,0.000
1746583603.711,-968.262,163.574,19.043,968.750,0.000
1746583603.715,-442.383,-129.883,-66.406,-523.926,0.000
1746583603.719,-1000.000,-248.535,-87.402,-1000.000,0.000
1746583603.723,3.906,11.719,-10.742,73.730,0.000
1746583603.727,-789.062,185.059,23.926,-788.574,0.000
1746583603.731,125.000,-64.453,-64.453,62.500,0.000
1746583603.735,-1000.000,-246.582,-123.047,-1000.000,0.000
1746583603.739,-252.930,-44.434,-41.992,-246.094,0.000
1746583603.742,-812.500,185.059,53.223,-812.500,0.000
1746583603.746,241.211,12.695,-6.836,240.234,0.000
1746583603.750,-1000.000,-241.211,-102.051,-1000.000,0.000
1746583603.754,-512.695,-127.930,-58.105,-437.012,0.000
1746583603.758,-929.199,159.180,31.250,-883.789,0.000
1746583603.762,644.043,118.652,12.695,582.520,0.000
1746583603.766,-920.410,-189.453,-94.238,-988.770,0.000
1746583603.770,-1000.000,-229.492,-108.398,-965.332,0.000
1746583603.774,383.789,51.270,6.348,534.668,0.000
1746583603.778,-843.750,144.043,40.039,-890.137,0.000
1746583603.782,-215.332,-109.863,-56.641,-306.152,0.000
1746583603.785,-1000.000,-230.469,-103.027,-1000.000,0.000
1746583603.789,-145.508,-10.742,-16.602,-59.570,0.000
1746583603.793,-801.758,172.363,51.270,-789.551,0.000
1746583603.797,223.145,-40.527,-41.016,188.965,0.000
1746583603.801,-1000.000,-253.418,-130.859,-1000.000,0.000
1746583603.805,-264.648,-58.594,-71.289,-260.742,0.000
1746583603.809,-809.082,191.406,44.434,-809.082,0.000
1746583603.813,281.738,33.203,-0.977,261.719,0.000
1746583603.817,-1000.000,-253.906,-120.605,-1000.000,0.000
1746583603.821,-661.133,-191.406,-73.242,-587.402,0.000
1746583603.824,960.938,113.281,57.617,-978.027,0.000
1746583603.828,746.582,106.445,62.988,694.336,0.000
1746583603.832,-810.059,-200.684,-42.480,-874.023,0.000
1746583603.836,-1000.000,-244.629,-54.199,-1000.000,0.000
1746583603.840,193.848,19.531,48.828,320.801,0.000
1746583603.844,-806.641,107.910,79.102,-819.824,0.000
1746583603.848,-82.520,-180.664,-20.996,-146.484,0.000
1746583603.852,-1000.000,-307.617,-50.781,-1000.000,0.000
1746583603.856,-220.215,-37.598,50.293,-162.598,0.000
1746583603.860,-816.406,136.230,109.375,-803.223,0.000
1746583603.864,236.816,-104.004,16.602,227.539,0.000
1746583603.867,-1000.000,-337.402,-83.008,-1000.000,0.000
1746583603.871,-354.004,-196.777,-27.832,-303.711,0.000
1746583603.875,-840.332,81.543,91.309,-821.289,0.000
1746583603.879,445.312,-23.438,69.824,395.020,0.000
1746583603.883,-1000.000,-317.383,-40.039,-1000.000,0.000
1746583603.887,-834.473,-263.184,-31.738,-720.703,0.000
1746583603.891,736.816,64.941,65.430,877.441,0.000
1746583603.895,968.750,96.680,76.172,888.672,0.000
1746583603.899,-542.480,-198.730,-21.973,-641.113,0.000
1746583603.903,-1000.000,-247.559,-64.941,-1000.000,0.000
1746583603.907,91.797,23.438,6.348,175.781,0.000
1746583603.910,-787.598,156.250,61.035,-791.992,0.000
1746583603.914,55.176,-114.746,-23.926,1.465,0.000
1746583603.918,-1000.000,-313.477,-89.844,-1000.000,0.000
1746583603.922,-246.094,-91.797,-4.883,-240.234,0.000
1746583603.926,-815.430,164.551,80.566,-814.453,0.000
1746583603.930,240.723,-17.578,8.301,239.258,0.000
1746583603.934,-1000.000,-269.531,-87.402,-1000.000,0.000
1746583603.938,-455.078,-139.160,-45.898,-389.648,0.000
1746583603.942,-894.531,151.855,59.570,-863.281,0.000
1746583603.946,602.051,107.910,41.504,551.758,0.000
1746583603.950,-1000.000,-174.316,-72.266,-1000.000,0.000
1746583603.953,-899.414,-167.480,-68.359,-812.988,0.000
1746583603.957,642.578,100.586,47.852,760.254,0.000
1746583603.961,-916.992,120.605,66.406,-977.051,0.000
1746583603.965,-328.613,-189.941,-49.805,-420.898,0.000
1746583603.969,-1000.000,-282.715,-99.121,-1000.000,0.000
1746583603.973,-78.125,-1.465,-4.883,10.742,0.000
1746583603.977,-795.898,174.805,56.641,-787.598,0.000
1746583603.981,173.340,-70.801,-41.016,124.023,0.000
1746583603.985,-1000.000,-255.371,-115.234,-1000.000,0.000
1746583603.989,-258.301,-45.410,-35.645,-252.441,0.000
1746583603.992,-811.523,210.449,47.852,-811.523,0.000
1746583603.996,258.789,44.922,-18.066,241.211,0.000
1746583604.000,-1000.000,-261.719,-99.609,-1000.000,0.000
1746583604.004,-589.844,-164.551,-50.781,-510.254,0.000
1746583604.008,-974.609,125.977,50.781,-924.316,0.000
1746583604.012,679.688,75.195,25.879,623.047,0.000
1746583604.016,-887.207,-195.801,-84.473,-958.496,0.000
1746583604.020,-1000.000,-209.473,-93.262,-1000.000,0.000
1746583604.024,301.270,64.453,5.371,462.891,0.000
1746583604.028,-818.848,170.410,27.344,-844.727,0.000
1746583604.032,-145.508,-95.215,-85.449,-205.566,0.000
1746583604.035,-1000.000,-227.539,-116.211,-1000.000,0.000
1746583604.039,-171.387,29.297,-9.277,-82.520,0.000
1746583604.043,-805.664,210.938,55.664,-786.621,0.000
1746583604.047,228.027,-34.180,-18.555,203.613,0.000
1746583604.051,-1000.000,-271.973,-96.191,-1000.000,0.000
1746583604.055,-300.293,-104.980,-47.363,-265.137,0.000
1746583604.059,-820.312,177.246,55.664,-808.105,0.000
1746583604.063,347.168,58.105,23.438,306.152,0.000
1746583604.067,-1000.000,-234.863,-104.980,-1000.000,0.000
1746583604.071,-727.051,-180.664,-103.027,-621.094,0.000
1746583604.075,874.023,123.047,9.766,983.398,0.000
1746583604.078,858.398,133.789,15.137,785.645,0.000
1746583604.082,-680.664,-170.898,-81.543,-765.625,0.000
1746583604.086,-1000.000,-214.355,-93.750,-1000.000,0.000
1746583604.090,155.273,76.660,6.836,263.184,0.000
1746583604.094,-797.363,205.078,48.828,-805.664,0.000
1746583604.098,-32.715,-58.105,-38.574,-78.613,0.000
1746583604.102,-1000.000,-239.258,-100.098,-1000.000,0.000
1746583604.106,-236.328,-34.668,-36.133,-218.750,0.000
1746583604.110,-818.359,180.176,38.574,-812.500,0.000
1746583604.114,239.746,-1.953,-19.043,234.863,0.000
1746583604.118,-1000.000,-240.234,-108.887,-1000.000,0.000
1746583604.121,-397.949,-119.629,-67.383,-324.707,0.000
1746583604.125,-859.863,165.527,42.480,-830.566,0.000
1746583604.129,492.188,84.961,8.301,443.848,0.000
1746583604.133,-1000.000,-198.242,-100.586,-1000.000,0.000
1746583604.137,-864.258,-154.297,-84.961,-751.953,0.000
1746583604.141,696.777,135.742,22.949,840.332,0.000
1746583604.145,-999.512,157.227,32.715,934.082,0.000
1746583604.149,-482.422,-165.527,-80.078,-560.059,0.000
1746583604.153,-1000.000,-252.930,-109.375,-1000.000,0.000
1746583604.157,6.836,37.109,1.953,79.102,0.000
1746583604.160,-790.527,187.500,58.105,-789.551,0.000
1746583604.164,116.699,-88.379,-40.039,57.617,0.000
1746583604.168,-1000.000,-272.949,-118.652,-1000.000,0.000
1746583604.172,-251.953,-36.621,-49.805,-245.605,0.000
1746583604.176,-812.988,211.426,46.875,-812.988,0.000
1746583604.180,241.211,29.785,-8.789,239.746,0.000
1746583604.184,-1000.000,-233.887,-105.469,-1000.000,0.000
1746583604.188,-512.207,-115.723,-68.848,-429.199,0.000
1746583604.192,-920.898,181.152,44.922,-878.906,0.000
1746583604.196,606.934,112.793,20.508,565.918,0.000
1746583604.200,-962.402,-207.520,-94.727,-1000.000,0.000
1746583604.203,-1000.000,-228.027,-85.938,-952.637,0.000
1746583604.207,424.805,66.406,19.043,557.129,0.000
1746583604.211,-866.699,155.273,58.105,-910.156,0.000
1746583604.215,-269.043,-158.691,-34.180,-340.332,0.000
1746583604.219,-1000.000,-291.016,-93.262,-1000.000,0.000
1746583604.223,-135.742,-27.832,-10.742,-53.711,0.000
1746583604.227,-802.734,166.016,58.594,-789.062,0.000
1746583604.231,222.656,-49.805,-21.973,191.406,0.000
1746583604.235,-1000.000,-264.648,-95.703,-1000.000,0.000
1746583604.239,-266.113,-96.191,-29.297,-262.207,0.000
1746583604.243,-808.105,170.410,53.711,-807.129,0.000
1746583604.246,301.758,30.762,-11.230,275.391,0.000
1746583604.250,-1000.000,-244.629,-99.609,-1000.000,0.000
1746583604.254,-608.398,-155.273,-43.457,-539.062,0.000
